"id","text","screenName","created","favoriteCount","retweetCount"
"1435937431996481540","@krempp05 @AfDStarnberg Das ist nicht ganz richtig: Es geht bei den Ermittlungen auch um aktuelle Vorwürfe in Sache… https://t.co/TaktrNYWwK","Alice_Weidel",2021-09-09 12:05:36,9,0
"1435932357446586368","@haienH Es geht nicht nur um Herrn Schäubles Zeit, sondern auch um aktuelle Vorgänge rund um #Wirecard. 
[MH / Team Weidel]","Alice_Weidel",2021-09-09 11:45:27,56,3
"1435926640601833476","Razzia im #Finanzministerium: Wie viele Skandale müssen eigentlich noch ans Licht kommen, bis #Bundesfinanzminister… https://t.co/qEL6xdxEff","Alice_Weidel",2021-09-09 11:22:44,2213,739
"1435886742155010048","#BaWü führt ab Montag die #2G-Regel ein, nach der nur #Geimpfte &amp; #Genesene Zugang zu bestimmten öffentlichen Berei… https://t.co/F9uctZm5MO","Alice_Weidel",2021-09-09 08:44:11,2850,722
"1435219942656380937","Der #Bundestag stimmt heute über das „Sondervermögen Aufbauhilfe 2021“ ab. Der Gesetzentwurf enthält jedoch nicht n… https://t.co/mmbQb1iLOO","Alice_Weidel",2021-09-07 12:34:34,1372,373
"1435215853168041991","Nach wie vor wandert jedes Jahr eine Großstadt neu in unser Land ein und direkt in unsere Sozialsysteme. Die Grünen… https://t.co/eluive9zWO","Alice_Weidel",2021-09-07 12:18:19,3252,848
"1435197177152872448","Wir werden für die #Fluthilfe, aber gegen die Änderungen zum #Infektionsschutzgesetz stimmen. Bei der Gesamtabstimm… https://t.co/uiUP56feqo","Alice_Weidel",2021-09-07 11:04:06,1102,311
"1435173275756290048","Niemand in Europa oder anderswo auf der Welt denkt daran, die deutsche „#Energiewende“ zu kopieren. Wir sind der ei… https://t.co/ga0UihOEc9","Alice_Weidel",2021-09-07 09:29:07,5146,1515
"1435161583815204867","Vielen Dank, lieber @StBrandner! <U+0001F499><U+0001F499><U+0001F499> https://t.co/MWuZJT9A5U","Alice_Weidel",2021-09-07 08:42:40,1029,191
"1434894744140800001","Wir lehnen eine Abfrage des #Impfstatus durch Arbeitgeber klar ab! Wir dürfen eine Zwei-Klassen-Gesellschaft in Gei… https://t.co/GCMyO4z76y","Alice_Weidel",2021-09-06 15:02:20,2986,793
"1434103924995366914","#SPD-Kanzlerkandidat @OlafScholz steht erneut wegen des #CumEx-Skandals im Kreuzfeuer. Eine solche Person kann nich… https://t.co/v1wjdAhAHa","Alice_Weidel",2021-09-04 10:39:54,1937,553
